"","Region","Country"
"151","Campania","Italy                                                                                                                                                 "
"152","Campi Flegrei","Italy                                                                                                                                                 "
"153","Campo de Borja","Spain                                                                                                                                                 "
"154","Cannonau di Sardegna","Italy                                                                                                                                                 "
"155","Canon Fronsac","France                                                                                                                                                "
"156","Capay Valley","US                                                                                                                                                    "
"157","Carema","Italy                                                                                                                                                 "
"158","Carignano del Sulcis","Italy                                                                                                                                                 "
"159","Carinena","Spain                                                                                                                                                 "
"160","Carmel Valley","US                                                                                                                                                    "
"161","Carmignano","Italy                                                                                                                                                 "
"162","Carneros","US                                                                                                                                                    "
"163","Carneros Napa Valley","US                                                                                                                                                    "
"164","Casorzo","Italy                                                                                                                                                 "
"165","Castel del Monte","Italy                                                                                                                                                 "
"166","Castilla La Mancha","Spain                                                                                                                                                 "
"167","Castillon Cotes de Bordeaux","France                                                                                                                                                "
"168","Catalanesca del Monte Somma","Italy                                                                                                                                                 "
"169","Catalunya","Spain                                                                                                                                                 "
"170","Catamarca","Argentina                                                                                                                                             "
"171","Cayuga Lake","US                                                                                                                                                    "
"172","Central Coast","US                                                                                                                                                    "
"173","Central Ranges","Australia                                                                                                                                             "
"174","Central Victoria","Australia                                                                                                                                             "
"175","Cerasuolo d'Abruzzo","Italy                                                                                                                                                 "
"176","Cerasuolo di Vittoria","Italy                                                                                                                                                 "
"177","Cerasuolo di Vittoria Classico","Italy                                                                                                                                                 "
"178","Cerons","France                                                                                                                                                "
"179","Cesanese del Piglio","Italy                                                                                                                                                 "
"180","Cevennes","France                                                                                                                                                "
"181","Chablis","France                                                                                                                                                "
"182","Chalk Hill","US                                                                                                                                                    "
"183","Chalone","US                                                                                                                                                    "
"184","Chambertin","France                                                                                                                                                "
"185","Chambertin Clos de Beze","France                                                                                                                                                "
"186","Chambolle Musigny","France                                                                                                                                                "
"187","Chapelle Chambertin","France                                                                                                                                                "
"188","Charentais","France                                                                                                                                                "
"189","Charmes Chambertin","France                                                                                                                                                "
"190","Chassagne Montrachet","France                                                                                                                                                "
"191","Chateau Chalon","France                                                                                                                                                "
"192","Chateaumeillant","France                                                                                                                                                "
"193","Chateauneuf du Pape","France                                                                                                                                                "
"194","Chehalem Mountains","US                                                                                                                                                    "
"195","Chelan County","US                                                                                                                                                    "
"196","Chenas","France                                                                                                                                                "
"197","Chevalier Montrachet","France                                                                                                                                                "
"198","Cheverny","France                                                                                                                                                "
"199","Chianti","Italy                                                                                                                                                 "
"200","Chianti Classico","Italy                                                                                                                                                 "
"201","Chianti Colli Aretini","Italy                                                                                                                                                 "
"202","Chianti Colli Fiorentini","Italy                                                                                                                                                 "
"203","Chianti Colli Pisani","Italy                                                                                                                                                 "
"204","Chianti Colli Senesi","Italy                                                                                                                                                 "
"205","Chianti Montalbano","Italy                                                                                                                                                 "
"206","Chianti Montespertoli","Italy                                                                                                                                                 "
"207","Chianti Rufina","Italy                                                                                                                                                 "
"208","Chianti Superiore","Italy                                                                                                                                                 "
"209","Chignin","France                                                                                                                                                "
"210","Chignin Bergeron","France                                                                                                                                                "
"211","Chiles Valley","US                                                                                                                                                    "
"212","Chinon","France                                                                                                                                                "
"213","Chiroubles","France                                                                                                                                                "
"214","Chorey les Beaune","France                                                                                                                                                "
"215","Cienega Valley","US                                                                                                                                                    "
"216","Cigales","Spain                                                                                                                                                 "
"217","Cilento","Italy                                                                                                                                                 "
"218","Circeo","Italy                                                                                                                                                 "
"219","Ciro Classico","Italy                                                                                                                                                 "
"220","Civitella d'Agliano","Italy                                                                                                                                                 "
"221","Clairette de Bellegarde","France                                                                                                                                                "
"222","Clairette de Die","France                                                                                                                                                "
"223","Clairette de Die Methode Dioise Ancestrale","France                                                                                                                                                "
"224","Clare Valley","Australia                                                                                                                                             "
"225","Clare Valley Coonawarra","Australia                                                                                                                                             "
"226","Clare Valley Eden Valley","Australia                                                                                                                                             "
"227","Clarendon","Australia                                                                                                                                             "
"228","Clarksburg","US                                                                                                                                                    "
"229","Clear Lake","US                                                                                                                                                    "
"230","Clements Hills","US                                                                                                                                                    "
"231","Clos de la Roche","France                                                                                                                                                "
"232","Clos de Lambrays","France                                                                                                                                                "
"233","Clos de Tart","France                                                                                                                                                "
"234","Clos de Vougeot","France                                                                                                                                                "
"235","Clos Saint Denis","France                                                                                                                                                "
"236","Cochise County","US                                                                                                                                                    "
"237","Coda di Volpe d'Irpinia","Italy                                                                                                                                                 "
"238","Cole Ranch","US                                                                                                                                                    "
"239","Colli Aprutini","Italy                                                                                                                                                 "
"240","Colli Bolognesi","Italy                                                                                                                                                 "
"241","Colli del Limbara","Italy                                                                                                                                                 "
"242","Colli della Toscana Centrale","Italy                                                                                                                                                 "
"243","Colli di Conegliano","Italy                                                                                                                                                 "
"244","Colli di Faenza","Italy                                                                                                                                                 "
"245","Colli di Luni","Italy                                                                                                                                                 "
"246","Colli di Salerno","Italy                                                                                                                                                 "
"247","Colli Etruria Centrale","Italy                                                                                                                                                 "
"248","Colli Euganei","Italy                                                                                                                                                 "
"249","Colli Martani","Italy                                                                                                                                                 "
"250","Colli Orientali del Friuli","Italy                                                                                                                                                 "
"251","Colli Perugini","Italy                                                                                                                                                 "
"252","Colli Piacentini","Italy                                                                                                                                                 "
"253","Colli Tortonesi","Italy                                                                                                                                                 "
"254","Colli Trevigiani","Italy                                                                                                                                                 "
