"","Producer","Country"
"81","Abadia de Tortoreos","Spain                                                                                                                                                 "
"82","Abadia la Arroyada","Spain                                                                                                                                                 "
"83","Abadia Retuerta","Spain                                                                                                                                                 "
"84","Abarbanel","France                                                                                                                                                "
"85","Abbadia Ardenga","Italy                                                                                                                                                 "
"86","Abbaye de Saint Ferme","France                                                                                                                                                "
"87","Abbaye De Tholomies","France                                                                                                                                                "
"88","Abbaye Sylva Plana","France                                                                                                                                                "
"89","Abbazia di Novacella","Italy                                                                                                                                                 "
"90","Abbazia Monte Oliveto","Italy                                                                                                                                                 "
"91","Abbazia Santa Anastasia","Italy                                                                                                                                                 "
"92","Abbey Creek","US                                                                                                                                                    "
"93","Abbeyville","US                                                                                                                                                    "
"94","Abbona Marziano","Italy                                                                                                                                                 "
"95","Abbot's Passage","US                                                                                                                                                    "
"96","Abbotts","France                                                                                                                                                "
"97","Abbotts Delaunay","France                                                                                                                                                "
"98","Abeja","US                                                                                                                                                    "
"99","Abelis Carthago","Spain                                                                                                                                                 "
"100","Aberrant Cellars","US                                                                                                                                                    "
"101","Abiouness","US                                                                                                                                                    "
"102","Abiqua Wind","US                                                                                                                                                    "
"103","Abraham Perold","South Africa                                                                                                                                          "
"104","Abraxas","Italy                                                                                                                                                 "
"105","Abrazo","Spain                                                                                                                                                 "
"106","Acacia","US                                                                                                                                                    "
"107","Acaibo","US                                                                                                                                                    "
"108","Accadia","Italy                                                                                                                                                 "
"109","Accordini Igino","Italy                                                                                                                                                 "
"110","Acentor","Spain                                                                                                                                                 "
"111","Achaia Clauss","Greece                                                                                                                                                "
"112","Achaval Ferrer","Argentina                                                                                                                                             "
"113","Acinum","Italy                                                                                                                                                 "
"114","Ackerman","US                                                                                                                                                    "
"115","Ackerman Family Vineyards","US                                                                                                                                                    "
"116","Aconcagua","Argentina                                                                                                                                             "
"117","Aconga","Argentina                                                                                                                                             "
"118","Acordeon","Argentina                                                                                                                                             "
"119","Acorex","Moldova                                                                                                                                               "
"120","Acorn","US                                                                                                                                                    "
"121","Acquiesce","US                                                                                                                                                    "
"122","Acre Twenty one","US                                                                                                                                                    "
"123","Acrobat","US                                                                                                                                                    "
"124","Acronym","US                                                                                                                                                    "
"125","Acumen","US                                                                                                                                                    "
"126","Acustic","Spain                                                                                                                                                 "
"127","Ad Lib","Australia                                                                                                                                             "
"128","Ad Vivum","US                                                                                                                                                    "
"129","Ada Nada","Italy                                                                                                                                                 "
"130","Adair Bachman","US                                                                                                                                                    "
"131","Adalia","Italy                                                                                                                                                 "
"132","Adamant Cellars","US                                                                                                                                                    "
"133","Adami","Italy                                                                                                                                                 "
"134","Adams Bench","US                                                                                                                                                    "
"135","Adanti","Italy                                                                                                                                                 "
"136","Adastra","US                                                                                                                                                    "
"137","Addamo","US                                                                                                                                                    "
"138","Addendum","US                                                                                                                                                    "
"139","Adega Algueira","Spain                                                                                                                                                 "
"140","Adega Cachin","Spain                                                                                                                                                 "
"141","Adega Cooperativa da Batalha","Portugal                                                                                                                                              "
"142","Adega Cooperativa de Borba","Portugal                                                                                                                                              "
"143","Adega Cooperativa de Vila Real","Portugal                                                                                                                                              "
"144","Adega Cooperativa do Cartaxo","Portugal                                                                                                                                              "
"145","Adega Cooperativa Ponte de Barca","Portugal                                                                                                                                              "
"146","Adega Cooperativa Ponte de Lima","Portugal                                                                                                                                              "
"147","Adega de Cantanhede","Portugal                                                                                                                                              "
"148","Adega de Favaios","Portugal                                                                                                                                              "
"149","Adega de Moncao","Portugal                                                                                                                                              "
"150","Adega de Penalva","Portugal                                                                                                                                              "
"151","Adega dos Eidos","Spain                                                                                                                                                 "
"152","Adega Mae","Portugal                                                                                                                                              "
"153","Adega Mayor","Portugal                                                                                                                                              "
"154","Adega Northwest","US                                                                                                                                                    "
"155","Adega Vila Real","Portugal                                                                                                                                              "
"156","Adega Viuva Gomes","Portugal                                                                                                                                              "
"157","Adegas D'Altamira","Spain                                                                                                                                                 "
"158","Adegas Gran Vinum","Spain                                                                                                                                                 "
"159","Adegas Moure","Spain                                                                                                                                                 "
"160","Adegas Terra Santa","Spain                                                                                                                                                 "
"161","Adelaida","US                                                                                                                                                    "
"162","Adelaida Cellars","US                                                                                                                                                    "
"163","Adelsheim","US                                                                                                                                                    "
"164","Aderezo","Spain                                                                                                                                                 "
"165","Adi Badenhorst & Duncan Savage","South Africa                                                                                                                                          "
"166","Adirondack Winery","US                                                                                                                                                    "
"167","Adler Fels","US                                                                                                                                                    "
"168","Admirable Family Vineyard","US                                                                                                                                                    "
"169","Adobe Road","US                                                                                                                                                    "
"170","Adolph Mueller","Germany                                                                                                                                               "
"171","Adoquin","Argentina                                                                                                                                             "
"172","Adras","Spain                                                                                                                                                 "
"173","Adria Vini","Italy                                                                                                                                                 "
"174","Adrian Fog","US                                                                                                                                                    "
"175","Adriano Marco & Vittorio","Italy                                                                                                                                                 "
"176","Adzic","Croatia                                                                                                                                               "
"177","Aequorea","US                                                                                                                                                    "
"178","Aesthete","US                                                                                                                                                    "
"179","Aether Wine Company","US                                                                                                                                                    "
"180","African Passion","South Africa                                                                                                                                          "
"181","Agate Ridge","US                                                                                                                                                    "
"182","Ager Falernus","Italy                                                                                                                                                 "
"183","Agly Brothers","France                                                                                                                                                "
"184","Agness","US                                                                                                                                                    "
"185","Agnitio","US                                                                                                                                                    "
"186","Agostina Pieri","Italy                                                                                                                                                 "
"187","Agostino Bosco","Italy                                                                                                                                                 "
"188","Agostino Pavia & Figli","Italy                                                                                                                                                 "
"189","Agostino Vicentini","Italy                                                                                                                                                 "
"190","Agrapart & Fils","France                                                                                                                                                "
"191","Agricola Bellaria","Italy                                                                                                                                                 "
"192","Agricola Castellana","Spain                                                                                                                                                 "
"193","Agricola Falset Marca","Spain                                                                                                                                                 "
"194","Agricola Labastida","Spain                                                                                                                                                 "
"195","Agricola Pace","Italy                                                                                                                                                 "
"196","Agricola Pugliano","Italy                                                                                                                                                 "
"197","Agricola Punica","Italy                                                                                                                                                 "
"198","Agricola Querciabella","Italy                                                                                                                                                 "
"199","Agricola Sulin","Italy                                                                                                                                                 "
"200","Agricola Tamburini","Italy                                                                                                                                                 "
"201","Agricole Vallone","Italy                                                                                                                                                 "
"202","Agricoltori del Chianti Geografico","Italy                                                                                                                                                 "
"203","Agrina","Serbia                                                                                                                                                "
"204","Agrinatura","Italy                                                                                                                                                 "
"205","Agrisole","Italy                                                                                                                                                 "
"206","Agro de Bazan","Spain                                                                                                                                                 "
"207","AgroArgento","Italy                                                                                                                                                 "
"208","Agrolaguna","Croatia                                                                                                                                               "
"209","Agros","Greece                                                                                                                                                "
"210","Aguijon De Abeja","Argentina                                                                                                                                             "
"211","Aguirre","Chile                                                                                                                                                 "
"212","Agusti Torello","Spain                                                                                                                                                 "
"213","Agusti Torello Mata","Spain                                                                                                                                                 "
"214","Agustin Cubero","Spain                                                                                                                                                 "
"215","Agustinos","Chile                                                                                                                                                 "
"216","Ahlgren","US                                                                                                                                                    "
"217","Ahnfeldt","US                                                                                                                                                    "
"218","Aia Vecchia","Italy                                                                                                                                                 "
"219","Aidura","Spain                                                                                                                                                 "
"220","Aigner","Austria                                                                                                                                               "
"221","Aiken","US                                                                                                                                                    "
"222","Aime Roquesante","France                                                                                                                                                "
"223","Airfield Estates","US                                                                                                                                                    "
"224","Airlie","US                                                                                                                                                    "
"225","Aitor Ider Balbo","Argentina                                                                                                                                             "
"226","AJB Vineyards","US                                                                                                                                                    "
"227","Akarua","New Zealand                                                                                                                                           "
"228","Al Cantara","Italy                                                                                                                                                 "
"229","Al Zagal","Spain                                                                                                                                                 "
"230","Alain Brumont","France                                                                                                                                                "
"231","Alain Girard et Fils","France                                                                                                                                                "
"232","Alain Graillot","France                                                                                                                                                "
"233","Alain Jaume et Fils","France                                                                                                                                                "
"234","Alain Poulet","France                                                                                                                                                "
"235","Alamos","Argentina                                                                                                                                             "
"236","Alan de Val","Spain                                                                                                                                                 "
"237","Alana Estate","New Zealand                                                                                                                                           "
"238","Alapay","US                                                                                                                                                    "
"239","Alaverdi Monastery Cellar","Georgia                                                                                                                                               "
"240","Alba Roja","Argentina                                                                                                                                             "
"241","Albada","Spain                                                                                                                                                 "
"242","Albamar","Chile                                                                                                                                                 "
"243","Alban","US                                                                                                                                                    "
"244","Albatreti","Italy                                                                                                                                                 "
"245","Albatross Ridge","US                                                                                                                                                    "
"246","Albemarle","US                                                                                                                                                    "
"247","Albeno Munari","US                                                                                                                                                    "
"248","Alberice","Italy                                                                                                                                                 "
"249","Albert Besombes","France                                                                                                                                                "
"250","Albert Bichot","France                                                                                                                                                "
"251","Albert Morot","France                                                                                                                                                "
"252","Alberti 154","Argentina                                                                                                                                             "
"253","Albertina","US                                                                                                                                                    "
"254","Alberto Longo","Italy                                                                                                                                                 "
"255","Alberto Nani","Italy                                                                                                                                                 "
"256","Alberto Oggero","Italy                                                                                                                                                 "
"257","Alberto Orte","Spain                                                                                                                                                 "
"258","Alberto Voerzio","Italy                                                                                                                                                 "
