"text","text_raw","name","keywords","upper_text","lower_text","brackets_text","id","year","color","province","region","producer","designation","variety","country","id_conf","year_conf","color_conf","province_sim","region_sim","producer_sim","designation_sim","variety_sim","brackets_conf","upper_text_hit","lower_text_hit","brackets_text_hit","inspect","dictionary_hit","any_hit","table","file","file_id","file_number","name_id","l","b","r","t","name_center_x_orig","name_center_y_orig"
"CHATEAU LA MISSION HAUT BRION Si 8 Ze ete te a ether este ee ee Cn ieee eee","CHATEAU LA MISSION HAUT BRION (Graves) Si 8 Ze ete te a ether este ee ee Cn ieee eee","CHATEAU LA MISSION HAUT BRION (Graves) Si 8 Ze ete te a ether este ee ee Cn ieee eee","character(0)","CHATEAU LA MISSION HAUT BRION","Si 8 Ze ete te a ether este ee ee Cn ieee eee","Graves","NULL","NULL","NULL","NULL","list(region = ""Graves"")","list(producer = ""Chateau La Mission Haut Brion"")","NULL","NULL","France","NULL","NULL","NULL","NULL","1","1","NULL","NULL","NULL","producer","NULL","region","NULL","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_1_11",319,2605,2816,2689,1563.20071343971,2652.33402055936
"CHATEAU MARGAUX 8 Ee ei eT eRe eee ee ei er te eiieiteltel ie elie Te es eileiie ve ee eee","CHATEAU MARGAUX (Margaux) 8. Ee ei eT eRe eee ee ei er te eiieiteltel ie elie Te es eileiie ve ee eee","CHATEAU MARGAUX (Margaux) 8. Ee ei eT eRe eee ee ei er te eiieiteltel ie elie Te es eileiie ve ee eee","character(0)","CHATEAU MARGAUX","8 Ee ei eT eRe eee ee ei er te eiieiteltel ie elie Te es eileiie ve ee eee","Margaux","NULL","NULL","NULL","NULL","list(region = ""Margaux"")","list(producer = ""Chateau Margaux"")","NULL","NULL","France","NULL","NULL","NULL","NULL","1","1","NULL","NULL","NULL","producer","NULL","region","NULL","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_1_12",319,2723,2816,2807,1564.64875495743,2770.32513537637
"CHATEAU PETRUS EE EE ek ach TS am ww HI a a Lian baa ye onl plain fc Moh ug kiY Jj hci iid win surat dng 7 SRBeNL bi eat rum peat fs S10 Al en edn £7 pd al","CHATEAU PETRUS (Pomerol) EE EE ek ach TS am ww HI a a Lian baa ye onl plain fc Moh ug kiY Jj hci iid win surat dng. 7 SRBeNL bi eat rum peat fs S10 Al en edn £7 pd al","CHATEAU PETRUS (Pomerol) EE EE ek ach TS am ww HI a a Lian baa ye onl plain fc Moh ug kiY Jj hci iid win surat dng. 7 SRBeNL bi eat rum peat fs S10 Al en edn £7 pd al","character(0)","CHATEAU PETRUS EE EE","ek ach TS am ww HI a a Lian baa ye onl plain fc Moh ug kiY Jj hci iid win surat dng 7 SRBeNL bi eat rum peat fs S10 Al en edn £7 pd al","Pomerol","NULL","NULL","NULL","NULL","list(region = ""Pomerol"")","Chateau Petrus","Chateau","NULL","France","NULL","NULL","NULL","NULL","1","0.7","0.35","NULL","NULL","designation","NULL","region","producer (submatch upper_text); designation (submatch upper_text); ","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_1_13",319,2836,2816,2937,1566.13974685914,2891.81598664983
"CHATEAU LATOUR { Pauillac Y oi eee ee ee cle el we celle eles Se ese UeiCe elie Ce le ie el Ceili Le Ve Le","CHATEAU LATOUR { Pauillac Y oi eee ee ee cle el we celle eles Se ese UeiCe elie Ce le. ie el Ceili Le Ve Le","CHATEAU LATOUR { Pauillac Y oi eee ee ee cle el we celle eles Se ese UeiCe elie Ce le. ie el Ceili Le Ve Le","character(0)","CHATEAU LATOUR","{ Pauillac Y oi eee ee ee cle el we celle eles Se ese UeiCe elie Ce le ie el Ceili Le Ve Le","NULL","NULL","NULL","NULL","NULL","Pauillac","list(producer = ""Chateau Latour"")","NULL","NULL","France","NULL","NULL","NULL","NULL","0.0879120879120879","1","NULL","NULL","NULL","producer","region","NULL","region (submatch lower_text); ","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_1_14",319,3012,2816,3097,1568.20136529114,3059.80333655881
"CHATEAU HAUT BRION","CHATEAU HAUT BRION (Graves) .... ......:cohsveidinivasnonnss in: 049","CHATEAU HAUT BRION (Graves)","character(0)","CHATEAU HAUT BRION","NULL","Graves","NULL","NULL","NULL","NULL","list(region = ""Graves"")","list(producer = ""Chateau Haut Brion"")","NULL","NULL","France","NULL","NULL","NULL","NULL","1","1","NULL","NULL","NULL","producer","NULL","region","NULL","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_1_15",319,3181,2816,3282,1570.37342756771,3236.79000878434
"CHATEAU AUSONE","CHATEAU AUSONE (St. Emilion) .. ONS ee ee ee ee eT SE LL ey eT Te Eee Eee","CHATEAU AUSONE (St. Emilion)","character(0)","CHATEAU AUSONE","NULL","Saint Emilion","NULL","NULL","NULL","NULL","list(region = ""Saint Emilion"")","list(producer = ""Chateau Ausone"")","NULL","NULL","France","NULL","NULL","NULL","NULL","1","1","NULL","NULL","NULL","producer","NULL","region","NULL","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_1_16",319,3413,2816,3497,1573.11611637457,3460.27317964538
"CHATEAU CHEVAL BLANC","CHATEAU CHEVAL BLANC (St. Emilion) .........cuveecionanmssvence ADB","CHATEAU CHEVAL BLANC (St. Emilion)","character(0)","CHATEAU CHEVAL BLANC","NULL","Saint Emilion","NULL","NULL","white","NULL","list(region = ""Saint Emilion"")","list(producer = ""Chateau Cheval Blanc"")","NULL","NULL","France","NULL","NULL","67.0209503173828","NULL","1","1","NULL","NULL","NULL","producer","NULL","region","NULL","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_1_17",319,3584,2816,3669,1575.22068519057,3631.7602660108
"CHATEAU MOUTON ROTHSCHILD wee ae sala Ter te le ele a en Ee ieee ee ee","CHATEAU MOUTON ROTHSCHILD {(Pauillac) wee ae sala Ter te le ele a en Ee ieee ee ee","CHATEAU MOUTON ROTHSCHILD {(Pauillac) wee ae sala Ter te le ele a en Ee ieee ee ee","character(0)","CHATEAU MOUTON ROTHSCHILD","wee ae sala Ter te le ele a en Ee ieee ee ee","(Pauillac","NULL","NULL","NULL","NULL","list(region = ""Pauillac"")","list(producer = ""Chateau Mouton Rothschild"")","NULL","NULL","France","NULL","NULL","NULL","NULL","0.888888888888889","1","NULL","NULL","NULL","producer","NULL","region","region (decent brackets_text); ","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_1_18",319,3756,2816,3839,1577.31911823743,3802.74739002529
"CHATEAU LAFITE ROTHSCHILD","CHATEAU LAFITE ROTHSCHILD ...scccsvene. os AS59","CHATEAU LAFITE ROTHSCHILD","character(0)","CHATEAU LAFITE ROTHSCHILD","NULL","NULL","NULL","NULL","NULL","NULL","NULL","list(producer = ""Chateau Lafite Rothschild"")","NULL","NULL","France","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","producer","NULL","NULL","NULL","TRUE","TRUE","1","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_1_19",319,3928,2816,4011,1579.42982282258,3974.73443874162
"CHATEAU LEOVILLE LASCASES 3 Brandes Lo) oe lL Fa ADY No Case B21 No","CHATEAU LEOVILLE LASCASES (St. Julien) 3 Brandes, Lo). oe lL Fa ADY No. Case B21 No.","CHATEAU LEOVILLE LASCASES (St. Julien) 3 Brandes, Lo). oe lL Fa ADY No. Case B21 No.","character(0)","CHATEAU LEOVILLE LASCASES","3 Brandes Lo) oe lL Fa ADY No Case B21 No","Saint Julien","NULL","NULL","NULL","NULL","list(region = ""Saint Julien"")","list(producer = ""Chateau Leoville Las Cases"")","Andes","NULL","France","NULL","NULL","NULL","NULL","1","0.961538461538462","0.121951219512195","NULL","NULL","producer","designation","region","producer (decent upper_text); designation (submatch lower_text); ","TRUE","TRUE","2","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_2_1",316,1000,3509,1131,1888.76729777535,1066.71942389218
"CHATEAU LYNCH BAGES urvrrreenn ivr tener) A25 39 75 B25 PY ata +1 25 1 rnAC YF INDY TY Er ZS eI P mt I Erne A anon FAN aN ee","CHATEAU LYNCH BAGES (POULILA6) .urvrrreenn ivr, tener) A25 39.75 B25 PY: ata +1 25 1 rnAC YF INDY TY Er ZS eI P mt I Erne A anon FAN aN ee","CHATEAU LYNCH BAGES (POULILA6) .urvrrreenn ivr, tener) A25 39.75 B25 PY ata +1 25 1 rnAC YF INDY TY Er ZS eI P mt I Erne A anon FAN aN ee","character(0)","CHATEAU LYNCH BAGES","urvrrreenn ivr tener) A25 39 75 B25 PY ata +1 25 1 rnAC YF INDY TY Er ZS eI P mt I Erne A anon FAN aN ee","POULILA6","NULL","NULL","NULL","NULL","NULL","list(producer = ""Chateau Lynch Bages"")","NULL","NULL","France","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","producer","NULL","NULL","NULL","TRUE","TRUE","2","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_2_2",318,1220,3509,1304,1892.17857975033,1263.19235626528
"CHATEAU PICHON LONGUEVILLE LALANDE","CHATEAU PICHON LONGUEVILLE LALANDE (Paunillne) .......... .... . A320 B29","CHATEAU PICHON LONGUEVILLE LALANDE (Paunillne)","character(0)","CHATEAU PICHON LONGUEVILLE LALANDE","NULL","Paunillne","NULL","NULL","NULL","NULL","NULL","Chateau Pichon Longueville","Chateau","NULL","France","NULL","NULL","NULL","NULL","NULL","0.764705882352941","0.205882352941177","NULL","NULL","designation","NULL","NULL","producer (submatch upper_text); designation (submatch upper_text); ","TRUE","TRUE","2","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_2_3",319,1336,3509,1421,1894.10817631154,1379.6774482604
"CHATEAU BEYCHEVELLE Spas wea len Sl Cl A27 43 25 B27 ph 3 ENTREE a a 3 md dd unl abe ma i Ta ih dh me 8","CHATEAU BEYCHEVELLE (St. Julien) Spas wea len Sl Cl A27 43.25 B27 ph 3 ENTREE a a 3 md dd unl abe ma. i Ta ih dh me 8","CHATEAU BEYCHEVELLE (St. Julien) Spas wea len Sl Cl A27 43.25 B27 ph 3 ENTREE a a 3 md dd unl abe ma. i Ta ih dh me 8","character(0)","CHATEAU BEYCHEVELLE","Spas wea len Sl Cl A27 43 25 B27 ph 3 ENTREE a a 3 md dd unl abe ma i Ta ih dh me 8","Saint Julien","NULL","NULL","NULL","NULL","list(region = ""Saint Julien"")","list(producer = ""Chateau Beychevelle"")","NULL","NULL","France","NULL","NULL","NULL","NULL","1","1","NULL","NULL","NULL","producer","NULL","region","NULL","TRUE","TRUE","2","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_2_4",319,1565,3509,1648,1896.90608704068,1607.66028027972
"CHATEAU COS D'ESTOURNEL","CHATEAU COS D'ESTOURNEL (St. Estephe) ......... uo a A30 43.25 B30 oa Sh sala pl Se a a a dl a i Cab: ar tl Ss nN re >on a","CHATEAU COS D'ESTOURNEL (St. Estephe)","character(0)","CHATEAU COS D'ESTOURNEL","NULL","Saint Estephe","NULL","NULL","NULL","NULL","list(region = ""Saint Estephe"")","list(producer = ""Chateau Cos d'Estournel"")","NULL","NULL","France","NULL","NULL","NULL","NULL","1","1","NULL","NULL","NULL","producer","NULL","region","NULL","TRUE","TRUE","2","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_2_5",319,1682,3509,1765,1898.34185702011,1724.6514703949
"CHATEAU LASCOMBES a RAR Ee a a A3) 43 25 B31 ale ya CF a al BR oS hE lL a wd gh EE Si) Ae le Ey ed tp CA NE ™ bl","CHATEAU LASCOMBES (Margaux) a RAR Ee a a A3) 43.25 B31 ale ya CF a al BR oS hE lL a wd gh EE Si) Ae le Ey ed tp, CA NE. ™ bl","CHATEAU LASCOMBES (Margaux) a RAR Ee a a A3) 43.25 B31 ale ya CF a al BR oS hE lL a wd gh EE Si) Ae le Ey ed tp, CA NE. ™ bl","character(0)","CHATEAU LASCOMBES","a RAR Ee a a A3) 43 25 B31 ale ya CF a al BR oS hE lL a wd gh EE Si) Ae le Ey ed tp CA NE ™ bl","Margaux","NULL","NULL","NULL","NULL","list(region = ""Margaux"")","list(producer = ""Chateau Lascombes"")","NULL","NULL","France","NULL","NULL","NULL","NULL","1","1","NULL","NULL","NULL","producer","NULL","region","NULL","TRUE","TRUE","2","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_2_6",319,1854,3509,1938,1900.4586973744,1897.13848146216
"CHATEAU PALMER","CHATEAU PALMER (MArgomxX) ...c....coucadhmiit oii ines: ABS B35","CHATEAU PALMER (MArgomxX)","character(0)","CHATEAU PALMER","NULL","MArgomxX","NULL","NULL","NULL","NULL","NULL","list(producer = ""Chateau Palmer"")","Margo","NULL","France","NULL","NULL","NULL","NULL","NULL","1","0.625","NULL","NULL","producer","NULL","designation","designation (submatch brackets_text); ","TRUE","TRUE","2","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_2_7",319,2143,3509,2227,1904.00517193897,2186.11672029367
"CHATEAU LATOUR A POMEROL","CHATEAU LATOUR-A-POMEROL (Pomerol) ..... Ci Pre Sea A41 48.50 B41","CHATEAU LATOUR-A-POMEROL (Pomerol)","character(0)","CHATEAU LATOUR A POMEROL","NULL","Pomerol","NULL","NULL","NULL","NULL","list(region = ""Pomerol"")","list(producer = ""Chateau Latour a Pomerol"")","NULL","NULL","France","NULL","NULL","NULL","NULL","1","1","NULL","NULL","NULL","producer","NULL","region","NULL","TRUE","TRUE","2","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_2_8",319,2315,3509,2398,1906.10974075497,2357.60380665908
"CHATEAU LATOUR HAUT BRYON","CHATEAU LATOUR HAUT BRYON (Graves) ..... oii. liens viidi on. ALS 55,75","CHATEAU LATOUR HAUT BRYON (Graves)","character(0)","CHATEAU LATOUR HAUT BRYON","NULL","Graves","NULL","NULL","NULL","NULL","list(region = ""Graves"")","Chateau Latour","Chateau","NULL","France","NULL","NULL","NULL","NULL","1","0.56","0.28","NULL","NULL","designation","NULL","region","producer (submatch upper_text); designation (submatch upper_text); ","TRUE","TRUE","2","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_2_9",319,2431,3509,2515,1907.53937496526,2474.09503442334
"CHATEAU LA MISSION HAUT BRION i","CHATEAU LA MISSION HAUT BRION (Graves) . i. .oie, visio dev tinins A45 B45","CHATEAU LA MISSION HAUT BRION (Graves) . i","character(0)","CHATEAU LA MISSION HAUT BRION","NULL","Graves","NULL","NULL","NULL","NULL","list(region = ""Graves"")","list(producer = ""Chateau La Mission Haut Brion"")","NULL","NULL","France","NULL","NULL","NULL","NULL","1","1","NULL","NULL","NULL","producer","NULL","region","NULL","TRUE","TRUE","2","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_2_10",319,2604,3509,2688,1909.66235108869,2647.08200784151
"CHATEAU MARGAUX i","CHATEAU MARGAUX {MavgatiX) . i... in devil ites s sins cniernin ibis A47 B47","CHATEAU MARGAUX {MavgatiX) . i","character(0)","CHATEAU MARGAUX","NULL","MavgatiX","NULL","NULL","NULL","NULL","NULL","list(producer = ""Chateau Margaux"")","NULL","NULL","France","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","producer","NULL","NULL","NULL","TRUE","TRUE","2","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_2_11",319,2720,3509,2805,1911.09198529898,2763.57323560578
"A ee EP Fa ha bi A RR lly Bn a §ITRCDIT AY incu drid veal vag Ons CC"" Bale bit legtie ug erat SBE Lp od ihm £7 ip gl CHATEAU PRERUS (Pomeroly visi dee iis i cases ensiaenss BBL 99 50 B51","A ee EP Fa ha bi A RR lly Bn a, §ITRCDIT AY incu drid veal vag Ons. CC"" Bale bit legtie ug erat SBE Lp od ihm, £7 ip gl CHATEAU PRERUS (Pomeroly visi dee iis i cases ensiaenss BBL 99.50 B51","A ee EP Fa ha bi A RR lly Bn a, §ITRCDIT AY incu drid veal vag Ons. CC"" Bale bit legtie ug erat SBE Lp od ihm, £7 ip gl CHATEAU PRERUS (Pomeroly visi dee iis i cases ensiaenss BBL 99.50 B51","character(0)","NULL","A ee Fa ha bi A RR lly Bn a §ITRCDIT AY incu drid veal vag Ons CC"" Bale bit legtie ug erat SBE Lp od ihm £7 ip gl CHATEAU PRERUS (Pomeroly visi dee iis i cases ensiaenss BBL 99 50 B51","NULL","NULL","NULL","NULL","NULL","Pomerol","Omero","Chateau","NULL","NULL","NULL","NULL","NULL","NULL","0.0273224043715847","0.0163934426229508","0.0273224043715847","NULL","NULL","NULL","designation","NULL","region (submatch lower_text); producer (submatch lower_text); designation (submatch lower_text); multiple countries (France / US);","TRUE","TRUE","2","/Users/janecarlen/Documents/DSI/wine-price-extraction/dsi/Data/price_table_output//UCD_Lehmann_0008","UCD_Lehmann_0008","0008","0008_2_12",319,2837,3509,2921,1912.52161950926,2880.06446337004
