file,ark,rotation,rad,dx,dy,x,y,cx,cy,unrotated,rotated
UCD_Lehmann_0519,d7101s-028,359.14,6.26817547561243,-45,30,4090,-6060,2045,-3030,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7101s/media/images/d7101s-028/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7101s/media/images/d7101s-028/svc:iiif/full/full/359.14/default.jpg
UCD_Lehmann_0516,d7101s-025,359.97,6.28266170840399,-2,2,4004,-6004,2002,-3002,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7101s/media/images/d7101s-025/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7101s/media/images/d7101s-025/svc:iiif/full/full/359.97/default.jpg
UCD_Lehmann_0510,d7101s-019,0.91,0.0158824961931484,-48,32,4096,-6064,2048,-3032,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7101s/media/images/d7101s-019/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7101s/media/images/d7101s-019/svc:iiif/full/full/0.91/default.jpg
UCD_Lehmann_0508,d7101s-017,0.78,0.0136135681655558,-41,27,4082,-6054,2041,-3027,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7101s/media/images/d7101s-017/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7101s/media/images/d7101s-017/svc:iiif/full/full/0.78/default.jpg
UCD_Lehmann_0515,d7101s-024,0.18,0.00314159265358979,-10,7,4020,-6014,2010,-3007,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7101s/media/images/d7101s-024/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7101s/media/images/d7101s-024/svc:iiif/full/full/0.18/default.jpg
UCD_Lehmann_0513,d7101s-022,359.3,6.27096800241563,-37,25,4074,-6050,2037,-3025,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7101s/media/images/d7101s-022/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7101s/media/images/d7101s-022/svc:iiif/full/full/359.3/default.jpg
UCD_Lehmann_0517,d7101s-026,359.48,6.27410959506922,-28,19,4056,-6038,2028,-3019,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7101s/media/images/d7101s-026/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7101s/media/images/d7101s-026/svc:iiif/full/full/359.48/default.jpg
UCD_Lehmann_0526,d7101s-035,0.36,0.00628318530717959,-19,13,4038,-6026,2019,-3013,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7101s/media/images/d7101s-035/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7101s/media/images/d7101s-035/svc:iiif/full/full/0.36/default.jpg
UCD_Lehmann_0518,d7101s-027,0.74,0.012915436464758,-39,26,4078,-6052,2039,-3026,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7101s/media/images/d7101s-027/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7101s/media/images/d7101s-027/svc:iiif/full/full/0.74/default.jpg
UCD_Lehmann_0512,d7101s-021,1.08,0.0188495559215388,-57,38,4114,-6076,2057,-3038,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7101s/media/images/d7101s-021/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7101s/media/images/d7101s-021/svc:iiif/full/full/1.08/default.jpg
UCD_Lehmann_0509,d7101s-018,359.89,6.28126544500239,-6,4,4012,-6008,2006,-3004,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7101s/media/images/d7101s-018/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7101s/media/images/d7101s-018/svc:iiif/full/full/359.89/default.jpg
UCD_Lehmann_0511,d7101s-020,359.55,6.27533132554561,-24,16,4048,-6032,2024,-3016,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7101s/media/images/d7101s-020/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7101s/media/images/d7101s-020/svc:iiif/full/full/359.55/default.jpg
UCD_Lehmann_0521,d7101s-030,359.11,6.26765187683684,-47,31,4094,-6062,2047,-3031,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7101s/media/images/d7101s-030/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7101s/media/images/d7101s-030/svc:iiif/full/full/359.11/default.jpg
UCD_Lehmann_0520,d7101s-029,0.7,0.0122173047639603,-37,25,4074,-6050,2037,-3025,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7101s/media/images/d7101s-029/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7101s/media/images/d7101s-029/svc:iiif/full/full/0.7/default.jpg
UCD_Lehmann_1723,d7fs36-004,0.33,0.00575958653158129,-18,12,4036,-6024,2018,-3012,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7fs36/media/images/d7fs36-004/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7fs36/media/images/d7fs36-004/svc:iiif/full/full/0.33/default.jpg
UCD_Lehmann_1722,d7fs36-003,359.92,6.28178904377799,-5,3,4010,-6006,2005,-3003,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7fs36/media/images/d7fs36-003/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7fs36/media/images/d7fs36-003/svc:iiif/full/full/359.92/default.jpg
UCD_Lehmann_0665,d70597-011,0.79,0.0137881010907552,-42,28,4084,-6056,2042,-3028,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-011/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-011/svc:iiif/full/full/0.79/default.jpg
UCD_Lehmann_0662,d70597-008,0.27,0.00471238898038469,-15,10,4030,-6020,2015,-3010,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-008/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-008/svc:iiif/full/full/0.27/default.jpg
UCD_Lehmann_0685,d70597-031,0.91,0.0158824961931484,-48,32,4096,-6064,2048,-3032,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-031/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-031/svc:iiif/full/full/0.91/default.jpg
UCD_Lehmann_0657,d70597-003,0.27,0.00471238898038469,-15,10,4030,-6020,2015,-3010,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-003/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-003/svc:iiif/full/full/0.27/default.jpg
UCD_Lehmann_0683,d70597-029,1.09,0.0190240888467382,-57,38,4114,-6076,2057,-3038,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-029/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-029/svc:iiif/full/full/1.09/default.jpg
UCD_Lehmann_0679,d70597-025,1.21,0.0211184839491314,-63,42,4126,-6084,2063,-3042,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-025/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-025/svc:iiif/full/full/1.21/default.jpg
UCD_Lehmann_0677,d70597-023,1.07,0.0186750229963393,-56,37,4112,-6074,2056,-3037,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-023/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-023/svc:iiif/full/full/1.07/default.jpg
UCD_Lehmann_0680,d70597-026,0.5,0.00872664625997165,-27,18,4054,-6036,2027,-3018,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-026/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-026/svc:iiif/full/full/0.5/default.jpg
UCD_Lehmann_0676,d70597-022,359.99,6.28301077425439,-1,1,4002,-6002,2001,-3001,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-022/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-022/svc:iiif/full/full/359.99/default.jpg
UCD_Lehmann_0675,d70597-021,1.36,0.0237364778271229,-71,47,4142,-6094,2071,-3047,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-021/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-021/svc:iiif/full/full/1.36/default.jpg
UCD_Lehmann_0688,d70597-034,0.16,0.00279252680319093,-9,6,4018,-6012,2009,-3006,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-034/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-034/svc:iiif/full/full/0.16/default.jpg
UCD_Lehmann_0686,d70597-032,0.69,0.0120427718387609,-36,24,4072,-6048,2036,-3024,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-032/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-032/svc:iiif/full/full/0.69/default.jpg
UCD_Lehmann_0682,d70597-028,0.45,0.00785398163397448,-24,16,4048,-6032,2024,-3016,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-028/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-028/svc:iiif/full/full/0.45/default.jpg
UCD_Lehmann_0684,d70597-030,0.59,0.0102974425867665,-31,21,4062,-6042,2031,-3021,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-030/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-030/svc:iiif/full/full/0.59/default.jpg
UCD_Lehmann_0678,d70597-024,0.84,0.0146607657167524,-44,29,4088,-6058,2044,-3029,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-024/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-024/svc:iiif/full/full/0.84/default.jpg
UCD_Lehmann_0687,d70597-033,1.25,0.0218166156499291,-65,43,4130,-6086,2065,-3043,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-033/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-033/svc:iiif/full/full/1.25/default.jpg
UCD_Lehmann_0670,d70597-016,0.56,0.00977384381116825,-30,20,4060,-6040,2030,-3020,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-016/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d70597/media/images/d70597-016/svc:iiif/full/full/0.56/default.jpg
